# Asteroid,   HMag, Site, Hours Visible
426082      , 20.10, V37,    82
1999HY1     , 18.10, V37,   806
2002TE66    , 18.40, V37,    83
142561      , 18.10, V37,   822
154991      , 18.50, V37,   292
162452      , 18.30, V37,   238
162913      , 18.30, V37,   121
228587      , 19.30, V37,    53
333755      , 19.30, V37,   392
391508      , 19.10, V37,    90
417201      , 19.70, V37,    62
1998WP7     , 19.80, V37,   288
2004BE68    , 18.40, V37,   625
381906      , 17.80, V37,   258
04947       , 18.00, V37,   187
65679       , 19.40, V37,   590
105141      , 18.90, V37,   135
136818      , 18.90, V37,   574
137799      , 18.50, V37,   487
140158      , 18.30, V37,   363
144898      , 18.80, V37,   217
159467      , 18.20, V37,   525
162385      , 18.40, V37,    27
163070      , 18.30, V37,    12
203015      , 18.40, V37,   686
303250      , 18.20, V37,    93
376788      , 19.40, V37,   291
418896      , 19.40, V37,    55
2001HZ7     , 19.80, V37,    65
2002UA31    , 19.00, V37,   460
442559      , 18.20, V37,    81
2000CE59    , 20.50, V37,   560
2004SB20    , 18.80, V37,   257
303933      , 19.00, V37,   212
396730      , 18.50, V37,   109
438017      , 18.70, V37,   507
2000UW13    , 20.60, V37,    10
2004BO41    , 18.00, V37,   182
163454      , 18.90, V37,   337
208023      , 20.40, V37,     4
323300      , 19.60, V37,   239
399611      , 19.30, V37,    94
441825      , 18.50, V37,  1083
2001PT9     , 20.90, V37,   125
2004QD14    , 20.50, V37,    28
253586      , 19.30, V37,   251
329520      , 19.80, V37,   595
403039      , 19.80, V37,   180
458368      , 18.40, V37,   338
2001OA14    , 18.40, V37,   121
2004QT24    , 18.30, V37,    93
2004RX109   , 18.10, V37,   143
04660       , 18.20, V37,    63
15817       , 18.50, V37,   422
55408       , 18.60, V37,   752
87024       , 18.70, V37,   359
136582      , 20.00, V37,   323
138404      , 19.10, V37,   124
141018      , 18.90, V37,   282
152770      , 18.40, V37,   360
162004      , 18.20, V37,    58
162472      , 19.10, V37,   681
171576      , 18.60, V37,   179
288592      , 20.70, V37,    63
349928      , 18.60, V37,    25
405427      , 18.00, V37,   306
470310      , 19.40, V37,   373
2001QD96    , 18.20, V37,   470
2007AS12    , 19.10, V37,   192
138911      , 19.20, V37,   496
142464      , 18.10, V37,   934
154988      , 18.40, V37,    85
162215      , 19.00, V37,   358
162911      , 19.20, V37,   160
189700      , 19.00, V37,   102
299582      , 18.00, V37,    23
355770      , 18.40, V37,   259
415715      , 18.20, V37,   531
1998LD      , 19.90, V37,    17
2002NW16    , 18.10, V37,    24
2001QH96    , 18.30, V37,    62
2005XH8     , 18.00, V37,     8
66400       , 19.30, V37,   112
96631       , 18.10, V37,   798
136897      , 18.50, V37,   118
138893      , 18.10, V37,    21
141498      , 18.30, V37,    13
154268      , 18.00, V37,   157
162117      , 19.10, V37,   160
162694      , 19.60, V37,   137
175189      , 18.40, V37,   208
297418      , 18.50, V37,   144
351545      , 19.70, V37,   281
409256      , 18.20, V37,    35
1995LG      , 18.70, V37,    81
2002MQ3     , 18.50, V37,    21
2007DM41    , 21.90, V37,   184
2009DE47    , 18.70, V37,   102
2009QL8     , 19.50, V37,    63
381906      , 17.80, K92,   199
2007LC15    , 18.60, V37,     9
2008CC175   , 21.30, V37,     8
2009KN4     , 18.30, V37,   247
381906      , 17.80, W86,   214
04660       , 18.20, W86,   133
04947       , 18.00, W86,    71
15817       , 18.50, W86,   528
55408       , 18.60, W86,   236
65679       , 19.40, W86,   494
66400       , 19.30, W86,    46
87024       , 18.70, W86,   409
87025       , 18.10, W86,    25
96631       , 18.10, W86,  1065
105141      , 18.90, W86,   512
136582      , 20.00, W86,   111
136793      , 18.40, W86,   165
136818      , 18.90, W86,   675
136897      , 18.50, W86,   141
137799      , 18.50, W86,   948
138404      , 19.10, W86,   225
138911      , 19.20, W86,   545
140158      , 18.30, W86,   248
141018      , 18.90, W86,   732
142464      , 18.10, W86,   519
142561      , 18.10, W86,   607
144898      , 18.80, W86,    88
152637      , 18.00, W86,    64
152770      , 18.40, W86,   453
153792      , 18.20, W86,    68
154268      , 18.00, W86,   622
154988      , 18.40, W86,    65
154991      , 18.50, W86,   135
159467      , 18.20, W86,   919
162004      , 18.20, W86,    77
162117      , 19.10, W86,   476
162215      , 19.00, W86,   257
162452      , 18.30, W86,   454
162472      , 19.10, W86,   114
162694      , 19.60, W86,   348
162911      , 19.20, W86,   416
162913      , 18.30, W86,   132
163070      , 18.30, W86,    29
163454      , 18.90, W86,   272
164120      , 19.10, W86,   312
170903      , 18.10, W86,   264
171576      , 18.60, W86,   215
175189      , 18.40, W86,   396
189700      , 19.00, W86,    70
203015      , 18.40, W86,     4
228587      , 19.30, W86,    34
253586      , 19.30, W86,   359
280491      , 19.00, W86,   349
288592      , 20.70, W86,   169
299582      , 18.00, W86,   107
303250      , 18.20, W86,   265
303933      , 19.00, W86,   122
323300      , 19.60, W86,    41
329520      , 19.80, W86,   335
333478      , 18.20, W86,   689
333755      , 19.30, W86,    88
351545      , 19.70, W86,    28
355770      , 18.40, W86,   251
369984      , 18.80, W86,   209
376788      , 19.40, W86,   252
391508      , 19.10, W86,    30
395289      , 18.30, W86,   234
396730      , 18.50, W86,   253
399611      , 19.30, W86,   249
403039      , 19.80, W86,   305
405427      , 18.00, W86,   411
409256      , 18.20, W86,    33
415715      , 18.20, W86,   400
417201      , 19.70, W86,    22
418896      , 19.40, W86,    56
426082      , 20.10, W86,   163
441825      , 18.50, W86,   234
442559      , 18.20, W86,   104
458368      , 18.40, W86,   431
470310      , 19.40, W86,   132
1995LG      , 18.70, W86,    58
1998LD      , 19.90, W86,   146
1998WP7     , 19.80, W86,    94
1999HY1     , 18.10, W86,   142
2000CE59    , 20.50, W86,    55
2000UW13    , 20.60, W86,    18
2001HZ7     , 19.80, W86,    58
2001OA14    , 18.40, W86,    36
2001PT9     , 20.90, W86,   299
2001QD96    , 18.20, W86,   148
2001QH96    , 18.30, W86,    63
2002MQ3     , 18.50, W86,   236
2002NW16    , 18.10, W86,   325
2002UA31    , 19.00, W86,   152
2003WR21    , 19.60, W86,   659
2004BE68    , 18.40, W86,   507
2004BO41    , 18.00, W86,    79
2004QD14    , 20.50, W86,     9
2004QT24    , 18.30, W86,   245
2004RX109   , 18.10, W86,    76
2005XH8     , 18.00, W86,     4
2006NL      , 20.00, W86,   248
2007AS12    , 19.10, W86,   722
2007XH16    , 19.60, V37,   358
2008KD6     , 19.70, V37,    64
2009WO106   , 19.10, V37,   522
2010VK188   , 18.50, V37,    17
2011GL62    , 19.50, V37,    34
2011JR13    , 19.50, V37,     8
2011TG2     , 20.40, V37,    79
2011VV5     , 19.00, V37,   210
2012AU10    , 18.20, V37,    81
2012UA34    , 19.70, V37,     8
2012VO76    , 21.10, V37,    86
2012XM145   , 20.20, V37,    70
2013TH5     , 17.60, V37,   591
2014QW296   , 18.60, V37,   215
2014SZ303   , 18.10, V37,   102
2014UR116   , 19.70, V37,   306
2015UM67    , 18.90, V37,   318
2007DM41    , 21.90, W86,    44
2007LC15    , 18.60, W86,   279
2007XH16    , 19.60, W86,   213
2008CC175   , 21.30, W86,    13
2008KD6     , 19.70, W86,    18
2008MG1     , 19.90, W86,   228
2009DE47    , 18.70, W86,   233
2009KN4     , 18.30, W86,   745
2009QL8     , 19.50, W86,   515
2009WO106   , 19.10, W86,   464
2010VK188   , 18.50, W86,    99
2011GL62    , 19.50, W86,    17
2011JR13    , 19.50, W86,    28
2011US63    , 18.00, W86,     8
2012AU10    , 18.20, W86,   104
2012VO76    , 21.10, W86,    54
2012XM145   , 20.20, W86,    26
2013TH5     , 17.60, W86,   585
2014QW296   , 18.60, W86,   101
2014SZ303   , 18.10, W86,   502
2014UR116   , 19.70, W86,    50
2015UM67    , 18.90, W86,   280
